year,race,driver,real_time_seconds
2025,Las Vegas Grand Prix,ALB,116.22
2025,Las Vegas Grand Prix,ALO,109.466
2025,Las Vegas Grand Prix,ANT,116.314
2025,Las Vegas Grand Prix,BEA,113.094
2025,Las Vegas Grand Prix,BOR,116.674
2025,Las Vegas Grand Prix,COL,113.683
2025,Las Vegas Grand Prix,GAS,111.54
2025,Las Vegas Grand Prix,HAD,109.554
2025,Las Vegas Grand Prix,HAM,117.115
2025,Las Vegas Grand Prix,HUL,112.781
2025,Las Vegas Grand Prix,LAW,109.062
2025,Las Vegas Grand Prix,LEC,109.872
2025,Las Vegas Grand Prix,NOR,107.934
2025,Las Vegas Grand Prix,OCO,112.987
2025,Las Vegas Grand Prix,PIA,108.961
2025,Las Vegas Grand Prix,RUS,108.803
2025,Las Vegas Grand Prix,SAI,108.296
2025,Las Vegas Grand Prix,STR,112.85
2025,Las Vegas Grand Prix,TSU,116.798
2025,Las Vegas Grand Prix,VER,108.257
2025,Qatar Grand Prix,ALB,80.629
2025,Qatar Grand Prix,ALO,80.219
2025,Qatar Grand Prix,ANT,79.846
2025,Qatar Grand Prix,BEA,80.438
2025,Qatar Grand Prix,BOR,80.534
2025,Qatar Grand Prix,COL,81.137
2025,Qatar Grand Prix,GAS,80.324
2025,Qatar Grand Prix,HAD,80.114
2025,Qatar Grand Prix,HAM,80.907
2025,Qatar Grand Prix,HUL,80.353
2025,Qatar Grand Prix,LAW,80.433
2025,Qatar Grand Prix,LEC,80.343
2025,Qatar Grand Prix,NOR,79.495
2025,Qatar Grand Prix,OCO,80.864
2025,Qatar Grand Prix,PIA,79.387
2025,Qatar Grand Prix,RUS,79.662
2025,Qatar Grand Prix,SAI,80.251
2025,Qatar Grand Prix,STR,81.058
2025,Qatar Grand Prix,TSU,80.761
2025,Qatar Grand Prix,VER,79.651
2025,Abu Dhabi Grand Prix,ALB,83.416
2025,Abu Dhabi Grand Prix,ALO,82.861
2025,Abu Dhabi Grand Prix,ANT,82.894
2025,Abu Dhabi Grand Prix,BEA,83.041
2025,Abu Dhabi Grand Prix,BOR,82.874
2025,Abu Dhabi Grand Prix,COL,83.89
2025,Abu Dhabi Grand Prix,GAS,83.468
2025,Abu Dhabi Grand Prix,HAD,82.997
2025,Abu Dhabi Grand Prix,HAM,83.394
2025,Abu Dhabi Grand Prix,HUL,83.45
2025,Abu Dhabi Grand Prix,LAW,83.077
2025,Abu Dhabi Grand Prix,LEC,82.73
2025,Abu Dhabi Grand Prix,NOR,82.408
2025,Abu Dhabi Grand Prix,OCO,82.913
2025,Abu Dhabi Grand Prix,PIA,82.437
2025,Abu Dhabi Grand Prix,RUS,82.645
2025,Abu Dhabi Grand Prix,SAI,83.042
2025,Abu Dhabi Grand Prix,STR,83.097
2025,Abu Dhabi Grand Prix,TSU,83.034
2025,Abu Dhabi Grand Prix,VER,82.207
