meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1255,9994,22,5,2025-03-22T07:09:46.838000+00:00,27.463,34.467,53.089,244.0,252.0,False,115.019,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",258.0
1255,9994,31,5,2025-03-22T07:09:53.401000+00:00,24.291,27.72,40.201,285.0,277.0,False,92.212,"[2049, 2049, 2049, 2049, 2049, 2048, 2049]","[2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2048, 2049, 2049]",327.0
1255,9994,7,5,2025-03-22T07:09:54.698000+00:00,27.12,31.684,55.158,255.0,238.0,False,113.962,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",268.0
1255,9994,55,6,2025-03-22T07:10:01.054000+00:00,27.666,33.499,49.852,255.0,251.0,False,111.017,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",296.0
1255,9994,87,5,2025-03-22T07:10:06.570000+00:00,24.427,27.599,39.992,286.0,277.0,False,92.018,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2048, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",327.0
1255,9994,23,5,2025-03-22T07:10:10.539000+00:00,29.153,33.965,51.956,225.0,248.0,False,115.074,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",310.0
1255,9994,30,5,2025-03-22T07:10:24.742000+00:00,27.582,32.219,52.164,242.0,245.0,False,111.965,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",267.0
1255,9994,10,6,2025-03-22T07:10:40.351000+00:00,28.247,33.65,53.324,252.0,246.0,False,115.221,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",284.0
1255,9994,27,6,2025-03-22T07:10:48.664000+00:00,27.28,33.057,48.301,176.0,257.0,False,108.638,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",305.0
1255,9994,44,5,2025-03-22T07:10:53.320000+00:00,24.959,27.656,44.091,286.0,280.0,False,96.706,"[2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",330.0
1255,9994,16,5,2025-03-22T07:11:05.189000+00:00,24.434,27.786,39.838,286.0,280.0,False,92.058,"[2049, 2049, 2049, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2051, 2048, 2048, 2049, 2049, 2048, 2051]",332.0
1255,9994,63,5,2025-03-22T07:11:10.914000+00:00,24.33,27.553,40.139,285.0,279.0,False,92.022,"[2049, 2049, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2051]","[2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2049]",333.0
1255,9994,81,5,2025-03-22T07:11:17.241000+00:00,24.252,27.538,40.137,283.0,277.0,False,91.927,"[2049, 2049, 2049, 2048, 2049, 2048, 2049]","[2048, 2048, 2049, 2048, 2049, 2049]","[2051, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049]",328.0
1255,9994,31,6,2025-03-22T07:11:25.536000+00:00,29.885,36.201,57.656,245.0,227.0,False,123.742,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",224.0
1255,9994,4,5,2025-03-22T07:11:27.880000+00:00,24.012,27.779,40.142,284.0,276.0,False,91.933,"[2051, 2049, 2049, 2048, 2051, 2048, 2049]","[2049, 2048, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048]",327.0
1255,9994,12,5,2025-03-22T07:11:35.677000+00:00,24.179,27.69,39.807,285.0,277.0,False,91.676,"[2049, 2049, 2049, 2048, 2049, 2048, 2051]","[2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049]",332.0
1255,9994,87,6,2025-03-22T07:11:38.458000+00:00,27.235,32.276,52.339,254.0,250.0,False,111.85,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",302.0
1255,9994,44,6,2025-03-22T07:12:30.079000+00:00,40.838,38.937,50.793,192.0,226.0,False,130.568,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",289.0
1255,9994,16,6,2025-03-22T07:12:37.209000+00:00,42.783,36.147,53.987,212.0,197.0,False,132.917,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",249.0
1255,9994,63,6,2025-03-22T07:12:42.849000+00:00,41.863,39.056,55.094,247.0,237.0,False,136.013,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",259.0
1255,9994,81,6,2025-03-22T07:12:49.146000+00:00,36.243,39.914,54.33,184.0,214.0,False,130.487,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",292.0
1255,9994,4,6,2025-03-22T07:12:59.840000+00:00,34.411,38.877,53.456,195.0,162.0,False,126.744,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",244.0
1255,9994,12,6,2025-03-22T07:13:07.268000+00:00,32.469,39.008,55.75,192.0,211.0,False,127.227,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",260.0
1255,9994,18,7,2025-03-22T07:14:28.112000+00:00,,38.131,47.817,257.0,241.0,True,317.601,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",305.0
