meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,sector_sum,avg_speed_est
1257,10010,87,3,2025-04-12T16:07:19.710000+00:00,34.586,48.617,31.104,213.0,188.0,0,114.307,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",298.0,114.307,233.0
1257,10010,16,2,2025-04-12T16:07:20.470000+00:00,28.967,39.606,22.881,242.0,269.0,0,91.454,"[2051, 2051, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2049, 2049]",327.0,91.45400000000001,279.3333333333333
1257,10010,5,2,2025-04-12T16:07:27.472000+00:00,29.52,39.976,23.22,242.0,273.0,0,92.716,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048]",319.0,92.716,278.0
1257,10010,30,3,2025-04-12T16:07:36.962000+00:00,43.508,45.869,34.086,219.0,207.0,0,123.463,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",165.0,123.46300000000001,197.0
1257,10010,81,2,2025-04-12T16:07:37.960000+00:00,29.287,39.3,22.805,243.0,272.0,0,91.392,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2051, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]",316.0,91.392,277.0
1257,10010,6,3,2025-04-12T16:07:48.016000+00:00,35.124,47.03,29.917,211.0,215.0,0,112.071,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",236.0,112.071,220.66666666666666
1257,10010,4,2,2025-04-12T16:07:49.144000+00:00,29.173,39.194,22.74,243.0,273.0,0,91.107,"[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2051, 2049, 2051, 2049, 2049, 2049, 2051, 2051, 2049]","[2051, 2049, 2049, 2049, 2051, 2048]",316.0,91.107,277.3333333333333
1257,10010,55,3,2025-04-12T16:07:54.776000+00:00,37.917,53.535,31.968,172.0,132.0,0,123.42,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",220.0,123.42,174.66666666666666
1257,10010,23,3,2025-04-12T16:08:03.346000+00:00,37.915,49.568,31.205,171.0,206.0,0,118.688,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",244.0,118.688,207.0
1257,10010,18,5,2025-04-12T16:08:10.911000+00:00,29.685,39.913,23.106,241.0,271.0,0,92.704,"[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2049, 2048, 2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",317.0,92.70400000000001,276.3333333333333
1257,10010,12,2,2025-04-12T16:08:18.558000+00:00,29.555,39.55,22.74,242.0,272.0,0,91.845,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049]",313.0,91.84499999999998,275.6666666666667
1257,10010,44,3,2025-04-12T16:08:25.193000+00:00,40.771,48.383,30.503,178.0,200.0,0,119.657,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",175.0,119.657,184.33333333333334
1257,10010,63,2,2025-04-12T16:08:26.138000+00:00,29.278,39.722,22.941,242.0,272.0,0,91.941,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",316.0,91.941,276.6666666666667
1257,10010,14,5,2025-04-12T16:08:32.673000+00:00,29.283,39.571,23.062,242.0,270.0,0,91.916,"[2048, 2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2048, 2048, 2049]","[2048, 2049, 2049, 2049, 2049, 2049, 2049]",316.0,91.916,276.0
